99439	friends
896	farmer_friends
88292	for_that_purpose
88203	until_next_time
8759	about_him/her/it
86380	experienced_farmer
84220	with_slogan_of_Gujarat
82161	experienced_farmer
8210	useful
81644	experienced_farmer
81509	experienced_farmer
81325	experienced_farmer
81206	experienced_farmer
81205	experienced_farmer
77295	experienced_farmer
77172	experienced_farmer
7510	in_a_short_while
70009	become_a_member
69572	will_bring_it
67348	[NOISE]
6601	farmer,_IBM_company
6559	IBM_company_
6533	IBM_company
6414	farmer,_IBM_company
63961	about_him/her/it
6395	farmer,_IBM_company
62053	Gracious_word_of_the_farmer_friends
61866	my_name_is
61454	Voice_of_experienced_farmer_friends
61452	Voice_of_experienced_farmer_friends
61138	Experienced_farmer_friends_
59577	Experienced_farmer_friends_
58911	[NOISE]
57398	thank_you
562717	[singing]
555535	seven_seven_eight
554649	experienced_farmer
553148	Mavji_from_IBM_company
5524	very_much
545790	around_X_degrees_celcius
545787	X_degree_celcius_has_been_registered
53948	connected_with
53042	Gracious_word_of_experienced_farmer_friends
528255	Mavji_Patel_from_IBM_company_
51656	all_thee_farmers
51536	may_get_information
507661	from_Mavji_Patel
489224	Gracious_words_of_experience_farmer_friends
48556	experienced_farmer
47952	experienced
476967	thanks_you_very_very_much,_thanks
47351	giving
473188	voice_of_experienced_farmer_friend
468431	thank_you_very_very_much_for_asking,_thanks
45028	all_farmer_friends
442748	Patel_Mavji_from_IBM_company
442740	Patel_from_IBM_company
43830	call_this_phone_number
43675	from_company_Mavji
416	NOISE
41488	very_much
3893	question
37260	in_the_gracious_voice_of_experience
369684	IBM_company
369564	IBM_company
356952	IBM_company
352674	gracious_word_of_friends,_Babubhai
349201	it_was_felt_
3455	very_many_farmers
335851	in_word_of_experienced_farmer_friends
32986	in_word_of_experienced_farmer_friends
32913	in_word_of_experienced_farmer_friends
323746	victory_to_farmers,_experience_farmer_friends
32197	more_information
318156	experienced_farmer
3155	IBM_company
310727	experienced_farmer
2978	from_Mavji_Patel
2969	IBM_company
29422	farmer,_IBM
29401	from_Mavji_Patel
288970	in_words_of_experienced_farmer_friends
28656	you_are_highly_highly_welcome
2478	the_new_question
247234	from_IBM_company_Mavji_Patel
24678	from_IBM_company_Mavji_Patel
24565	about_that_subject
24522	i_humbly_request
24352	your_Kapdi_Somalbhai
24260	near_you_
241402	farmer,_from_IBM_company
241324	from_IBM_company
226312	from_IBM_company_
226295	farmer,_from_IBM_company
2252	mobile_phone
22089	farmer_friend
218675	farmer,_experienced
214587	word_of_experienced_farmer_friends
2093	experienced
2017	made_
19965	NOISE
19875	option_number_
1914	new_information_
18496	Please_stay_on_the_line
181269	voice_of_farmer_friends
18103	farmer
17962	guidance_by_the_experts
177970	in_the_gracious_word_of_farmer,_Naranbhai
17518	ninety_nine
171799	voice_of_experienced_farmer_friends
169167	voice_of_farmer_friends
166746	words_of_experience
164097	from_IBM_company_Mavji_Patel
164088	Greetings_farmer_friends
160992	word_of_experienced_farmer_friends
158540	farmers,_sevice_be_praised,_experienced
158167	words_farmer_friends
155315	farmers,_experienced
14719	NOISE
144274	farmers,_sevice_be_praised,_experienced_farmers
14076	voice_of_farmer_friends
13861	technology
125668	farmer,_experienced
12453	question_
12401	make_use
121643	experienced_farmer_friends_
12137	on_the_voice_platform
12120	for_which_you
11586	experienced_voice
113996	gracious_words_of_expereinced_farmer
112466	victory_to_farmer
111957	victory_to_farmer
11136	X_and_
10570	to_all_farmer_brethren
102653	farmer,_service_be_praised,_experienced_farmer's
102443	farmer,_service_be_praised,_experienced_farmer's
99810	other_farmers
95164	farmer,_service_be_praised,_experienced_farmer's
90419	voice_of_experienced_farmer_friends
86173	Kapdi_Somalbhai
84961	request
80919	service_be_praised,_experienced
76697	voice
72146	greetings,_farm--
71364	Kapdi_Somalbhai_from_IBM_company
70752	NOISE
70272	stay_connected
6874	NOISE
67635	victory_to_farmer,_experienced
66441	from_company,_Mavji_Patel
66187	from_company_Mavji_Patel
6586	from_IBM_company
62528	glory_to_Gujarat
59917	glorious_Gujarat_
59347	farmer
59129	your_say_on_the_voice_platform
57680	no_common_word
562716	SINGING
559976	i_take_your_leave_until
554638	farmer,_service_be_praised,_experienced
544084	farmer,_service_be_praised,_experienced
5381	discussion_of_development_
525841	from_IBM_company
51473	get_your_information
507630	from_IBM_company,_Mavji_Patel_
506160	99098_40752
48901	greetings,_victory_to_farmer
48504	victory_to_farmer,_experienced
48310	victory_to_farmer,_of_experienced_farmer_friends
47460	farming
45393	question
451630	voice_of_farmer_friends
449651	gracious_word_of_experienced_farmer_friends
428	welcoming_you_very_very_much
425283	in_gracious_word_of_experienced_farmer_friends
424353	in_gracious_word_of_experienced_farmer_friends
42116	voice_of_farmer_friends
416254	from_IBM_company
41572	NOISE
409332	from_IBM_company
4085	NOISE
40813	voice_of_experienced_farmer_friends
40786	NOISE
405078	victorious_farmer,_service_be_praised,_experienced_
403699	well_to_all_you_friends
3964	NOISE
39073	friends,_farmer
375275	listening_to_gracious_words_of_experienced_farmers
375114	listening_to_gracious_words_of_experienced_farmers
370530	victory_to_farmer,_experienced
37018	in_words_of_the_experienced_farmers
370166	from_IBM_company,_Mavji
353761	victory_to_farmer,_service_be_praised
33625	NOISE
335723	in_gracious_word_of_experienced_farmer_friends
3318	from_IBM_company,_Mavji_Patel
32499	further_information
3241	from_IBM_company,_Mavji_Patel
32175	more_and_more
32045	from_company
